Ganhou,TimePlayed,EyesCount,LaCount,Label
0,95.8,10,5,0
1,38.4,8,2,1
0,248.8,5,3,0
1,7.8,0,2,1
0,57.8,8,5,1
1,74.9,5,5,0
0,223.7,9,4,0
0,6.9,6,3,1
0,115.8,9,3,0
1,202.4,8,3,1
1,6.9,5,2,1
0,167.9,5,2,1
0,118.8,10,4,0
0,181.3,10,1,1
1,88.9,9,4,1
0,32.9,9,4,1
1,226.9,10,2,1
1,181.7,10,0,1
1,9.9,5,5,1
1,173.8,0,5,1
0,78.7,10,5,0
0,115.2,8,4,0
1,196.9,8,5,1
1,237.6,2,3,1
0,150.5,8,4,0
0,110.8,10,5,0
0,128.0,6,3,0
0,180.0,3,4,1
0,91.7,6,5,1
1,14.7,10,5,0
1,162.2,7,3,0
0,138.8,10,0,1
0,21.8,8,4,0
0,187.0,7,4,0
0,140.1,9,3,1
0,96.5,9,5,0
1,226.6,10,3,0
0,175.5,7,4,0
0,133.4,6,5,0
1,180.3,0,3,1
0,131.9,9,5,0
0,35.2,0,3,1
1,92.3,9,5,1
1,167.9,3,2,1
1,100.5,3,4,1
1,167.7,9,5,1
1,4.6,8,1,1
1,117.9,9,5,1
0,109.9,10,4,0
1,105.2,6,4,0
0,74.5,5,4,0
0,118.3,3,1,1
0,175.9,10,3,0
0,124.6,5,2,1
1,186.9,10,5,0
0,93.7,10,5,0
1,130.6,3,1,1
1,62.5,7,5,1
1,88.7,10,4,0
0,37.1,9,3,0
0,0.2,9,5,0
0,1.6,5,5,1
0,124.0,0,5,1
0,161.4,6,3,0
1,245.7,9,5,1
1,94.1,7,0,1
1,54.0,7,3,0
0,227.3,9,5,0
1,218.0,10,3,1
0,225.2,10,5,0
1,102.6,6,5,0
0,215.9,9,5,0
1,98.8,2,5,1
1,66.4,10,5,1
0,210.2,9,4,0
1,28.5,7,4,0
1,119.7,1,3,1
0,201.7,10,1,1
0,27.6,9,5,0
0,242.3,1,0,1
1,80.1,9,5,0
0,153.0,9,5,0
0,162.8,2,4,1
1,131.9,0,2,1
0,61.0,6,1,1
0,147.8,8,5,0
0,246.9,5,5,0
1,213.4,10,3,0
1,191.5,5,5,1
1,86.7,9,4,1
0,79.2,6,5,0
1,26.6,10,2,1
1,245.4,7,4,0
0,120.2,9,3,0
1,243.3,10,4,0
0,158.3,4,5,1
0,166.2,7,5,1
1,1.2,2,1,1
0,27.6,6,4,0
0,136.0,1,1,1
0,65.9,3,4,1
1,92.7,5,3,1
1,147.4,8,5,0
1,209.9,8,1,1
1,140.2,8,5,0
1,123.7,2,3,1
0,157.5,0,4,1
1,57.6,3,5,1
1,1.6,10,1,1
0,136.8,6,4,0
0,79.7,6,4,0
1,113.6,0,1,1
1,201.4,0,4,1
1,122.4,5,1,1
0,190.9,7,3,0
1,140.5,2,3,1
1,85.1,0,1,1
1,111.8,2,3,1
0,98.6,10,2,1
0,237.4,5,4,0
1,102.4,10,5,0
1,201.5,8,3,0
0,160.0,9,4,1
0,25.9,10,4,0
1,188.5,8,5,0
1,77.5,7,2,1
0,231.9,6,4,0
1,116.3,6,2,1
0,170.9,9,5,0
1,160.6,5,0,1
0,213.5,6,1,1
1,116.7,10,5,0
0,76.0,8,5,0
0,129.4,9,0,1
0,120.1,3,4,1
1,153.0,9,2,1
1,192.7,5,0,1
0,111.2,9,3,0
0,1.6,8,4,0
0,118.3,9,4,0
1,129.6,9,5,0
1,36.9,9,5,0
1,140.7,8,0,1
1,109.8,4,3,1
0,203.9,10,5,0
0,39.5,10,5,0
0,233.6,4,1,1
0,43.2,8,2,1
1,33.3,5,3,1
0,216.5,6,4,1
1,160.7,5,3,1
1,137.6,2,2,1
1,69.9,1,3,1
0,229.9,9,3,0
0,89.3,2,2,1
1,60.4,4,1,1
0,158.6,4,0,1
1,35.9,0,1,1
1,130.4,3,3,1
1,115.0,10,4,0
0,220.8,6,5,0
1,142.2,1,1,1
1,35.3,8,3,0
1,242.4,6,5,0
0,218.1,10,1,1
1,61.8,9,0,1
1,226.6,3,1,1
0,193.5,8,4,0
1,145.9,10,4,0
1,16.8,2,2,1
0,177.7,6,4,0
1,241.5,9,1,1
1,13.3,5,5,1
0,77.7,9,4,0
0,111.8,4,5,1
1,91.8,4,4,1
0,95.3,10,5,0
1,12.0,6,1,1
1,229.7,6,3,0
0,217.3,7,2,1
0,191.6,7,4,0
0,110.8,7,4,0
0,151.7,8,5,0
1,42.2,9,0,1
1,132.9,2,5,1
1,131.8,0,3,1
1,135.4,9,5,0
0,92.7,6,3,0
0,207.4,10,1,1
0,17.6,2,2,1
0,171.9,7,4,0
1,112.1,5,3,0
1,204.8,7,3,1
0,167.5,9,5,0
1,197.1,5,3,0
1,102.1,10,5,0
0,152.9,10,3,1
1,9.7,3,3,1
1,3.9,4,3,1
1,203.1,4,5,1
0,54.5,8,4,0
0,4.9,8,4,0
0,12.1,9,5,0
0,166.5,8,4,0
0,12.0,7,3,0
0,164.7,9,4,0
0,149.6,7,5,0
0,131.8,10,5,0
1,193.2,5,3,0
1,209.9,3,3,1
0,73.2,7,4,0
1,15.7,10,1,1
0,22.8,7,4,0
0,98.5,10,5,0
0,25.5,8,5,0
1,181.1,9,5,0
0,151.1,10,5,0
0,201.6,6,4,0
0,164.1,8,5,0
1,110.3,7,5,0
0,68.1,10,3,0
0,45.5,6,5,0
1,127.6,6,3,1
1,9.8,9,0,1
0,14.3,10,2,1
0,218.1,0,3,1
1,87.8,8,4,1
0,80.3,1,0,1
0,138.8,9,5,0
0,50.7,9,5,0
0,193.6,10,4,0
1,149.2,4,4,1
0,48.5,7,5,0
1,138.9,10,5,0
1,79.3,6,3,0
0,131.6,9,3,0
0,237.9,7,5,0
1,209.4,1,0,1
1,55.4,0,1,1
0,197.5,9,3,0
0,241.2,3,4,1
0,42.1,9,5,0
0,205.8,10,4,0
0,217.6,9,1,1
0,122.0,5,0,1
1,149.6,1,3,1
1,144.6,9,0,1
1,74.8,8,3,0
0,133.7,9,5,0
0,57.6,9,4,1
1,53.8,9,4,0
1,197.8,8,4,0
0,0.2,5,5,0
0,9.9,10,4,0
0,39.7,5,3,1
0,181.4,0,0,1
1,104.8,9,3,0
0,112.3,5,5,0
0,227.9,9,4,0
0,142.8,6,4,0
0,189.8,10,4,0
1,234.6,9,5,0
1,127.6,7,5,0
1,32.9,5,0,1
0,20.7,10,4,0
0,185.7,10,5,0
0,209.6,10,5,1
0,73.8,5,5,1
1,167.8,2,2,1
0,170.1,10,5,0
1,95.7,1,5,1
0,3.5,9,5,0
0,83.3,5,4,0
0,184.2,7,4,0
1,70.1,2,3,1
1,168.4,0,4,1
0,189.8,7,5,0
1,188.6,9,5,0
1,105.3,6,3,1
0,5.9,10,3,0
0,176.4,6,4,0
1,70.0,6,4,1
0,54.6,9,5,0
1,153.6,7,5,1
0,112.6,6,5,0
1,244.1,10,3,1
0,54.7,10,5,0
0,27.7,9,3,0
0,10.2,0,2,1
0,101.5,5,5,0
1,226.0,8,5,1
1,110.7,3,3,1
1,191.4,10,5,0
1,175.2,6,5,0
1,74.1,10,3,1
0,168.6,8,3,0
1,47.9,8,4,0
1,44.5,1,4,1
1,219.4,9,3,1
1,197.7,10,3,0
1,56.9,1,3,1
0,213.0,8,5,1
1,164.3,3,5,1
1,116.9,0,5,1
1,76.3,8,3,1
1,85.6,10,1,1
0,31.6,8,5,0
0,184.1,8,4,0
0,98.9,7,3,0
0,79.9,6,4,0
0,193.5,6,4,0
1,60.3,6,5,1
0,178.3,7,5,0
0,20.2,3,5,1
0,121.4,8,5,0
1,141.5,7,0,1
1,171.0,5,3,1
1,15.8,3,0,1
1,11.2,8,3,0
1,189.6,9,5,0
1,163.6,8,0,1
1,180.5,8,3,1
1,117.3,0,3,1
1,174.2,10,3,0
0,192.5,9,4,1
0,145.4,10,5,0
0,127.1,5,4,0
1,23.7,0,5,1
1,245.8,3,0,1
1,225.0,10,3,0
1,184.0,5,3,1
0,16.9,9,5,0
1,43.9,9,3,0
0,224.2,0,4,1
1,122.5,7,5,0
1,43.4,8,3,1
1,40.9,7,2,1
1,94.8,8,5,1
0,200.0,5,4,0
1,85.0,2,3,1
0,63.5,2,1,1
0,174.1,10,4,0
1,207.3,3,5,1
0,150.6,3,1,1
1,26.6,6,4,0
0,172.1,10,4,0
0,226.2,10,4,0
0,126.8,5,3,0
0,12.4,10,5,0
1,204.1,1,0,1
0,172.9,10,3,1
0,133.7,7,5,0
0,81.3,6,4,0
1,51.6,9,5,0
0,221.4,5,3,0
0,18.0,10,4,0
1,5.0,5,2,1
0,226.2,7,4,0
1,48.0,9,4,0
0,114.4,9,3,0
0,248.5,1,1,1
0,140.9,7,4,0
1,109.7,2,2,1
1,163.9,2,0,1
0,152.7,9,3,0
0,111.6,10,3,0
1,39.5,2,4,1
1,187.1,7,5,1
1,13.1,1,1,1
1,70.1,9,3,1
0,96.5,5,3,0
0,239.4,5,5,0
0,230.8,7,5,0
1,23.3,9,4,1
0,56.2,9,3,0
0,41.2,8,4,1
1,159.9,8,0,1
1,18.9,3,3,1
1,87.1,8,5,1
0,169.6,6,5,0
1,23.0,6,3,1
0,237.0,10,4,0
1,69.0,1,5,1
1,63.6,4,2,1
1,235.7,7,0,1
1,224.5,10,0,1
0,10.6,6,5,1
0,70.1,3,1,1
0,130.0,4,1,1
1,210.6,6,0,1
0,102.7,7,4,0
1,44.9,9,0,1
1,75.5,5,0,1
1,176.8,4,4,1
0,69.5,3,4,1
0,7.4,9,5,0
0,181.9,7,5,0
0,84.4,6,4,0
0,60.9,9,4,0
0,58.1,7,5,0
0,165.7,10,3,0
0,125.8,6,5,1
1,118.5,9,0,1
1,239.1,0,1,1
1,218.3,6,2,1
1,96.3,8,4,0
0,74.3,5,4,0
0,238.5,7,5,0
0,23.2,7,5,0
1,227.6,3,4,1
0,50.7,2,3,1
1,223.9,4,4,1
0,106.7,8,5,0
0,165.3,5,5,0
1,210.7,9,0,1
1,121.0,2,2,1
1,75.7,9,1,1
0,76.9,9,3,1
0,113.8,9,3,0
0,77.1,10,3,0
1,46.0,4,0,1
0,70.0,6,4,0
1,67.7,10,3,0
0,103.5,10,4,0
1,234.7,1,4,1
0,22.7,10,5,0
1,77.5,1,5,1
1,87.9,10,0,1
1,105.7,1,0,1
0,223.3,7,4,0
1,53.9,7,4,0
0,197.6,10,5,0
0,180.4,9,3,0
1,130.9,0,0,1
0,63.4,8,3,0
1,223.8,4,3,1
0,158.3,9,3,0
0,146.0,10,5,0
0,125.0,8,0,1
1,193.1,7,3,0
0,165.5,5,5,0
0,190.9,10,5,0
1,75.5,1,4,1
0,207.0,7,5,0
1,137.6,10,5,0
0,208.8,6,5,0
0,124.8,9,4,0
1,40.0,6,2,1
1,109.9,8,0,1
1,150.6,4,4,1
0,27.3,2,1,1
1,246.9,9,5,0
1,30.5,10,1,1
1,93.0,9,2,1
1,1.6,7,5,1
0,120.9,0,0,1
1,79.1,1,5,1
1,61.8,10,3,0
0,216.8,10,3,0
1,149.8,10,3,1
1,174.1,10,3,0
0,60.2,9,3,0
0,59.0,0,1,1
0,16.6,8,5,0
0,216.4,10,5,0
0,106.8,8,3,1
1,216.6,4,1,1
0,218.5,8,4,0
1,93.6,7,4,0
1,159.6,2,4,1
1,41.6,3,1,1
0,147.7,6,5,0
1,118.5,4,1,1
0,185.2,9,5,0
1,56.7,2,3,1
1,73.2,0,4,1
0,39.4,6,4,0
1,167.6,1,3,1
1,79.6,8,4,1
0,192.1,7,4,0
0,220.7,1,0,1
0,101.6,10,3,1
0,87.7,10,5,0
1,164.2,7,4,1
1,40.3,7,5,1
1,161.9,5,2,1
1,48.6,2,3,1
1,172.2,3,5,1
1,159.4,2,1,1
1,58.7,9,5,0
0,125.1,10,3,0
1,121.6,7,2,1
0,26.7,1,1,1
1,18.9,7,4,0
0,165.1,9,5,0
1,234.9,8,0,1
0,179.2,0,5,1
1,165.3,0,3,1
1,243.6,6,5,0
1,114.7,1,4,1
0,74.3,8,4,0
0,20.2,6,5,0
1,55.1,10,4,1
0,119.4,10,3,0
1,189.9,4,0,1
0,199.4,0,5,1
0,57.3,7,5,0
0,166.8,9,4,0
0,154.5,8,5,0
0,7.7,4,0,1
1,30.6,10,4,1
1,192.1,4,1,1
1,181.3,2,5,1
1,117.2,9,4,1
0,45.2,6,4,0
1,0.2,1,3,1
0,46.5,8,4,0
1,89.3,2,5,1
0,55.6,10,5,0
0,84.1,7,2,1
0,249.3,7,4,0
1,214.7,9,4,0
1,139.2,6,5,1
0,0.0,6,3,0
1,104.1,5,3,1
0,221.6,8,4,0
1,74.0,1,5,1
1,130.3,10,1,1
0,110.9,7,3,0
1,197.2,8,3,0
0,160.8,8,5,0
0,165.2,6,5,0
0,77.4,3,0,1
1,214.8,3,2,1
0,100.6,8,5,0
1,26.3,6,3,0
1,133.3,7,4,1
1,244.2,0,3,1
1,161.7,1,5,1
0,101.1,2,2,1
0,170.4,9,5,0
0,52.2,6,5,0
1,188.1,9,2,1
1,246.5,8,5,1
0,27.6,7,4,0
1,20.3,4,2,1
1,145.5,3,3,1
1,63.9,5,4,0
1,37.8,2,2,1
1,105.2,9,2,1
0,109.8,6,0,1
1,238.5,8,4,0
1,50.6,10,1,1
0,64.9,10,5,0
1,126.2,10,5,0
0,227.7,10,5,0
0,28.3,7,5,0
1,53.6,4,0,1
1,217.6,10,5,1
1,48.2,8,3,0
1,141.3,3,0,1
0,167.6,6,5,1
0,231.5,9,3,0
0,107.4,3,0,1
1,62.5,8,2,1
0,171.8,9,5,0
0,32.6,10,5,0
0,151.0,5,1,1
1,237.5,10,3,0
1,205.1,6,0,1
0,215.2,7,3,1
0,131.3,9,3,0
0,91.0,8,3,0
0,159.1,5,4,1
0,182.1,10,3,0
1,163.1,7,5,1
1,175.0,6,4,0
1,212.2,9,4,0
1,188.0,5,4,0
0,83.0,8,5,0
0,110.5,9,3,1
0,1.9,10,4,0
1,46.6,7,5,1
0,72.8,7,5,0
0,186.1,10,5,0
0,206.1,8,5,0
0,197.7,5,5,0
0,135.5,1,3,1
0,137.6,5,4,1
1,122.0,5,5,1
0,26.0,8,4,0
1,144.2,9,5,0
0,85.4,10,5,0
1,233.1,8,3,1
1,13.6,10,3,1
1,101.4,7,2,1
1,87.9,8,4,1
1,166.4,10,4,0
0,57.5,7,1,1
0,54.4,4,5,1
0,88.4,10,5,1
0,217.9,7,4,0
0,182.3,5,4,1
0,59.0,4,4,1
0,212.4,9,4,0
1,195.5,5,2,1
1,229.9,5,5,0
1,174.8,3,1,1
0,99.9,9,5,0
0,128.9,8,5,0
1,161.4,7,2,1
0,144.5,7,5,1
0,11.1,7,4,0
1,48.8,9,5,0
0,53.8,10,4,0
0,113.5,5,2,1
1,105.3,8,4,0
0,63.2,3,0,1
0,120.8,9,5,0
0,220.1,7,5,0
1,146.9,10,4,0
0,37.3,6,4,0
1,136.5,2,1,1
0,210.1,5,5,0
0,175.0,9,4,0
1,206.0,8,5,1
0,81.8,5,3,0
1,217.6,6,2,1
0,179.9,0,3,1
0,43.6,5,5,0
0,36.2,10,4,0
0,102.8,9,4,0
0,249.7,10,3,0
0,118.2,9,4,0
0,101.7,8,5,1
0,213.0,7,3,0
0,151.6,10,4,0
1,142.6,10,0,1
1,65.8,6,5,1
0,222.8,8,5,0
1,81.1,7,5,0
1,244.0,9,3,0
0,141.9,10,5,0
1,244.1,6,2,1
1,121.3,6,5,1
1,69.9,4,4,1
0,100.0,9,4,0
1,235.7,4,2,1
1,178.6,10,4,0
0,215.5,9,5,0
0,45.8,7,5,0
0,217.9,7,0,1
1,159.2,10,3,1
0,83.6,10,5,0
1,186.0,9,3,0
1,176.4,10,3,0
1,156.2,6,5,0
1,100.4,3,0,1
1,204.2,10,2,1
0,36.4,9,2,1
1,32.5,7,5,1
1,157.1,7,4,0
0,38.4,10,5,0
1,80.3,9,5,0
0,204.4,5,5,0
1,228.9,10,4,0
0,68.7,9,5,1
1,127.4,0,1,1
0,153.5,0,4,1
0,84.5,7,5,0
0,79.3,8,3,0
1,1.3,3,5,1
1,79.6,3,4,1
0,118.9,10,5,0
1,79.5,2,5,1
0,21.7,8,5,0
1,89.3,6,4,0
1,141.1,3,5,1
0,100.3,9,3,0
1,180.5,6,0,1
0,169.4,6,4,0
0,237.2,6,3,0
0,247.6,6,1,1
1,157.6,6,5,0
0,145.3,7,5,0
0,75.0,8,3,0
1,72.7,8,5,0
0,2.9,10,2,1
1,54.5,1,2,1
1,26.0,8,5,1
1,235.1,6,4,1
0,126.9,8,5,0
0,122.7,8,3,0
0,145.4,10,5,0
0,118.4,10,5,0
0,86.1,1,4,1
0,100.6,6,5,0
1,241.9,5,3,1
1,11.7,6,1,1
1,71.7,6,1,1
1,109.7,5,3,1
1,78.2,8,4,0
0,65.3,9,5,0
0,196.9,3,2,1
1,26.2,9,3,0
1,216.8,5,3,0
0,167.1,2,0,1
0,165.2,7,3,0
1,184.5,3,5,1
0,23.5,10,4,0
0,108.9,6,5,0
0,1.2,10,3,0
1,97.3,6,4,0
1,189.1,10,3,0
1,200.2,3,0,1
1,236.5,5,5,1
1,53.6,10,4,1
0,204.7,5,5,0
1,67.9,10,5,0
0,148.6,8,5,0
1,123.3,0,3,1
1,41.0,7,3,0
0,207.2,3,3,1
0,44.6,3,0,1
0,137.6,8,4,0
0,109.3,4,2,1
1,158.3,6,4,0
0,67.1,8,5,0
0,233.2,2,5,1
0,114.4,9,3,0
1,49.3,7,4,1
0,6.6,10,5,0
1,7.9,10,3,0
1,62.7,4,5,1
1,63.7,6,1,1
0,0.7,0,3,1
1,229.4,9,2,1
0,140.8,10,4,0
0,197.9,9,2,1
1,88.3,4,5,1
1,178.5,9,2,1
0,8.6,5,5,0
0,208.3,6,4,0
0,56.7,9,5,0
0,229.8,9,4,0
1,185.4,9,5,0
1,100.0,7,3,1
1,41.6,4,1,1
0,212.5,8,4,0
0,138.1,9,5,0
0,39.2,10,5,0
0,148.2,10,5,0
1,174.9,0,4,1
0,235.9,8,4,0
1,173.6,8,5,0
1,93.9,10,4,1
0,26.6,8,3,0
1,21.2,7,3,1
0,29.0,2,5,1
1,43.0,2,1,1
0,203.9,7,4,1
0,177.2,0,3,1
1,33.6,3,1,1
0,66.1,10,5,1
0,70.4,9,4,0
0,162.9,8,2,1
1,195.6,5,1,1
0,55.9,7,3,0
0,107.3,9,5,0
0,108.9,8,5,0
1,16.4,6,3,1
0,216.8,5,5,0
0,214.8,8,2,1
1,63.4,5,2,1
0,179.7,0,1,1
1,216.7,2,3,1
1,79.8,3,2,1
1,66.2,1,3,1
1,143.3,6,4,0
0,58.8,9,2,1
1,135.5,6,5,1
1,103.2,10,3,1
0,241.0,4,4,1
1,180.3,7,1,1
1,25.1,8,0,1
0,39.3,10,3,0
0,191.3,9,5,0
1,161.5,6,5,0
0,184.0,6,2,1
0,56.3,7,5,0
0,233.1,6,5,0
1,237.5,0,0,1
1,231.4,9,5,0
1,188.5,3,5,1
0,52.9,6,4,0
0,157.0,8,5,0
1,0.8,5,1,1
1,4.0,5,3,1
0,192.4,6,3,1
0,53.2,3,3,1
0,81.0,10,3,0
1,218.6,5,5,1
1,244.2,7,5,1
1,17.1,9,4,1
1,17.3,10,3,1
1,172.0,7,5,1
0,17.4,5,5,0
0,11.8,10,5,0
1,205.3,9,3,1
0,64.4,5,3,0
1,118.5,8,2,1
1,228.4,8,3,1
0,178.7,8,5,0
1,71.5,0,3,1
1,211.5,3,3,1
1,202.3,7,5,0
0,169.7,8,3,0
0,234.6,8,5,0
0,105.0,9,4,0
0,148.3,2,1,1
1,120.3,9,0,1
0,58.1,10,5,0
0,61.4,10,5,0
1,147.1,7,2,1
1,154.2,10,3,0
0,144.8,6,2,1
0,105.8,8,4,0
0,38.9,6,5,0
0,1.5,9,5,1
0,98.6,7,4,0
1,149.9,10,4,1
0,226.8,8,4,0
0,159.8,8,5,0
1,71.5,10,4,0
0,117.6,7,5,0
0,2.9,10,4,0
0,133.1,10,5,0
1,157.6,1,5,1
0,204.7,10,3,0
0,52.1,9,5,0
1,246.0,1,3,1
1,185.2,10,3,1
0,130.3,8,4,0
1,43.1,9,5,0
1,132.4,3,5,1
1,58.7,5,3,0
1,74.1,5,4,1
0,232.0,9,4,0
0,102.8,5,4,0
0,135.1,7,4,0
0,242.9,10,2,1
0,192.0,8,4,0
0,171.7,10,4,0
1,1.4,4,4,1
0,13.8,8,4,0
1,161.1,9,1,1
0,156.0,10,4,0
1,237.4,3,3,1
1,120.8,9,1,1
1,56.9,10,0,1
1,11.9,4,0,1
1,45.7,7,5,1
0,76.0,9,4,0
0,61.8,5,0,1
1,65.0,6,5,1
1,242.5,2,1,1
0,6.2,8,5,0
0,111.5,9,4,0
0,133.3,5,1,1
0,198.4,4,1,1
1,8.3,3,0,1
0,118.9,7,4,0
0,201.7,7,5,0
0,61.0,7,4,1
1,62.4,7,5,1
0,179.7,9,5,1
1,188.3,9,5,0
0,241.5,3,1,1
0,55.6,10,1,1
0,215.9,10,4,0
0,68.7,5,4,0
1,176.5,9,4,1
1,122.9,6,3,1
1,165.8,1,2,1
1,99.5,1,2,1
1,117.9,8,1,1
1,72.2,2,4,1
0,207.6,10,4,0
0,197.3,6,4,0
1,54.0,7,5,0
0,96.7,6,4,0
1,24.6,2,5,1
0,41.3,2,3,1
1,116.6,6,1,1
0,179.6,7,1,1
1,10.3,4,0,1
1,28.7,4,0,1
1,187.6,0,4,1
1,171.6,7,4,0
0,89.0,10,3,0
0,29.4,10,5,0
0,232.1,7,4,0
1,167.9,8,5,0
0,74.9,6,5,0
0,43.1,8,3,0
0,125.0,7,4,0
1,54.2,4,2,1
1,231.4,1,5,1
0,136.6,8,3,0
1,75.2,3,4,1
0,30.0,10,4,0
0,209.0,7,5,0
0,190.9,9,4,0
0,55.9,10,5,0
1,145.5,10,5,0
0,161.0,7,4,0
0,51.0,9,3,1
0,112.4,10,5,0
0,14.8,10,5,1
0,216.1,5,5,0
1,237.6,2,3,1
1,183.8,1,1,1
0,114.4,6,5,0
0,148.1,7,2,1
0,91.5,10,5,0
1,223.7,10,3,0
0,80.9,8,3,0
0,63.3,6,4,0
1,56.9,8,5,0
0,153.3,9,0,1
1,54.2,9,5,0
1,42.8,4,2,1
0,114.6,2,2,1
0,15.2,10,3,0
0,248.0,9,4,0
1,111.6,8,1,1
1,222.8,2,5,1
0,213.2,10,5,0
0,145.9,9,4,0
1,119.8,7,5,0
1,88.0,8,5,0
1,214.7,6,2,1
0,197.9,9,4,1
1,102.2,2,3,1
0,240.8,10,5,0
1,108.4,8,2,1
0,49.8,10,5,0
0,10.0,7,5,0
1,235.2,5,3,0
1,30.3,0,5,1
1,7.1,2,4,1
1,4.4,6,1,1
0,130.5,9,4,0
1,172.9,6,4,0
0,194.3,7,3,0
0,33.7,9,5,0
0,163.3,1,2,1
1,238.6,5,0,1
0,229.3,7,3,0
1,180.8,9,5,0
1,4.7,9,5,0
1,164.7,3,1,1
1,112.9,5,1,1
0,118.0,10,5,0
1,145.6,10,4,0
1,51.1,9,1,1
1,193.2,8,5,1
0,180.7,10,4,0
0,228.6,7,5,0
0,99.5,7,4,0
1,184.8,7,5,1
0,189.3,8,3,0
1,97.5,9,5,1
1,63.2,8,5,0
0,36.2,5,5,0
0,100.1,9,5,0
0,17.6,8,5,0
1,24.3,8,5,0
1,84.3,4,4,1
0,141.1,8,5,1
1,116.5,6,5,0
1,48.6,10,5,1
1,11.6,9,5,0
1,230.6,2,4,1
0,85.2,8,5,0
1,180.7,8,5,1
1,178.3,9,5,1
1,197.8,8,3,0
0,47.1,7,5,0
1,71.5,8,3,1
1,249.7,5,2,1
0,127.5,10,4,0
1,209.4,10,4,0
0,91.0,7,5,0
0,80.2,6,5,0
1,27.7,10,3,0
1,194.2,4,1,1
0,40.2,9,4,0
1,214.2,6,5,1
0,105.2,5,4,0
0,174.4,10,5,0
0,7.1,10,5,1
1,100.9,5,4,0
1,131.9,8,1,1
0,169.6,9,3,0
0,191.5,3,3,1
1,9.1,2,4,1
0,72.4,8,2,1
0,200.9,5,5,1
0,217.2,4,0,1
1,53.0,1,3,1
0,231.2,6,3,0
1,146.8,4,3,1
1,167.1,1,5,1
1,153.9,7,3,1
1,138.0,0,3,1
1,212.7,3,4,1
1,172.6,2,3,1
1,19.7,9,5,0
0,216.4,9,4,0
0,179.2,5,5,0
1,208.4,5,3,1
1,138.8,8,2,1
1,95.3,6,5,0
0,47.0,8,4,0
1,210.3,3,2,1
1,149.6,10,0,1
0,189.7,8,3,0
1,231.6,9,5,0
0,214.8,6,5,1
0,216.1,9,0,1
1,42.5,10,5,1
0,234.6,10,4,0
0,241.3,4,1,1
0,43.3,9,5,0
1,228.7,8,4,0
0,73.5,8,4,0
0,209.5,10,3,0
1,0.7,3,0,1
1,242.8,7,0,1
1,131.2,9,4,0
0,197.1,6,0,1
